Date,Open,High,Low,Close,Price_Percent_Change,Volatility,Price_Change,Gain,Loss,Avg_Gain,Avg_Loss,RS,RSI,12_Day_EMA,26_Day_EMA,MACD,MACD_Signal,MACD_Histogram,Volume,Gold_Close
2014-09-17,465.864014,468.174011,452.421997,457.334015,,,,,,,,,,,,,,,21056800,1223.25
2014-09-18,456.859985,456.859985,413.104004,424.440002,-7.46%,,-32.894013,0,32.894013,,,,,,,,,,34483200,1225.45
2014-09-19,424.102997,427.834991,384.532013,394.79599,-7.24%,,-29.644012,0,29.644012,,,,,,,,,,37919700,1216.45
2014-09-20,394.673004,423.29599,389.882996,408.903992,3.51%,,14.108002,14.108002,0,,,,,,,,,,36863600,1215.05
2014-09-21,408.084991,412.425995,393.181,398.821014,-2.50%,,-10.082978,0,10.082978,,,,,,,,,,26580100,1222.95
2014-09-22,399.100006,406.915985,397.130005,402.152008,0.83%,,3.330994,3.330994,0,,,,,,,,,,24127600,1217.05
2014-09-23,402.09201,441.557007,396.196991,435.790985,8.03%,,33.638977,33.638977,0,,,,,,,,,,45099500,1222.62
2014-09-24,435.751007,436.112,421.131989,423.204987,-2.93%,,-12.585998,0,12.585998,,,,,,,,,,30627700,1219.51
2014-09-25,423.156006,423.519989,409.467987,411.574005,-2.79%,,-11.630982,0,11.630982,,,,,,,,,,26814400,1215.95
2014-09-26,411.428986,414.937988,400.009003,404.424988,-1.75%,,-7.149017,0,7.149017,,,,,,,,,,21460800,1209.24
2014-09-27,403.556,406.622986,397.372009,399.519989,-1.22%,,-4.904999,0,4.904999,,,,,,,,,,15029300,1213.65
2014-09-28,399.471008,401.016998,374.332001,377.181,-5.75%,,-22.338989,0,22.338989,,,,,411.5119146,,,,,23613300,1213.5
2014-09-29,376.928009,385.210999,372.23999,375.46701,-0.46%,,-1.71399,0,1.71399,,,,,404.6896642,,,,,32497700,1191.2
2014-09-30,376.088013,390.97699,373.442993,386.944,3.01%,,11.47699,11.47699,0,,,,,401.5649973,,,,,34707300,1207.15
2014-10-01,387.427002,391.378998,380.779999,383.61499,-0.86%,67.33%,-3.32901,0,3.32901,4.468211643,9.733856286,0.459038177,31.46169745,400.6332473,,,,,26229400,1209
2014-10-02,383.988007,385.497009,372.946014,375.071991,-2.25%,61.39%,-8.542999,0,8.542999,4.149053668,9.648795051,0.430007441,30.07029395,397.8139139,,,,,21777700,1221.7
2014-10-03,375.181,377.695007,357.859009,359.511993,-4.24%,56.48%,-15.559998,0,15.559998,3.852692692,10.07102383,0.382552237,27.67000237,394.5381622,,,,,30901200,1224.15
2014-10-04,359.891998,364.487,325.885986,328.865997,-8.91%,62.89%,-30.645996,0,30.645996,3.577500357,11.5406647,0.309990841,23.66358842,388.4309946,,,,,47236500,1223.48
2014-10-05,328.915985,341.800995,289.29599,320.51001,-2.57%,62.91%,-8.355987,0,8.355987,3.460497214,9.054140357,0.382200527,27.65159754,378.8242467,,,,,83308096,1237.15
2014-10-06,320.389008,345.134003,302.559998,330.07901,2.94%,65.07%,9.569,9.569,0,3.896818842,8.407416046,0.4634978,31.67054983,371.0637486,,,,,79011800,1232.75
2014-10-07,330.584015,339.247009,320.481995,336.187012,1.83%,51.53%,6.108002,6.108002,0,4.054760496,7.806886328,0.519382546,34.18379046,364.7814992,,,,,49199900,1241.07
2014-10-08,336.115997,354.364014,327.187988,352.940002,4.86%,58.51%,16.75299,16.75299,0,4.961776889,7.249251591,0.684453675,40.63357069,360.4910837,,,,,54736300,1239.1
