Date,Open,High,Low,Close,Price_Percent_Change,Volatility,Price_Change,Gain,Loss,Avg_Gain,Avg_Loss,RS,RSI,12_Day_EMA,26_Day_EMA,MACD,MACD_Signal,MACD_Histogram,Volume,
1968-04-01,91.110001,93.550003,91.110001,92.480003,,,,,,,,,,,,,,,17730000,
1968-04-02,92.480003,93.440002,91.389999,92.639999,0.17%,,0.159996,0.159996,0,,,,,,,,,,14520000,
1968-04-03,92.639999,95.129997,92.239998,93.470001,0.89%,,0.830002,0.830002,0,,,,,,,,,,19290000,
1968-04-04,93.470001,94.589996,92.629997,93.839996,0.40%,,0.369995,0.369995,0,,,,,,,,,,14340000,
1968-04-05,93.839996,94.510002,92.669998,93.290001,-0.59%,,-0.549995,0,0.549995,,,,,,,,,,12570000,
1968-04-08,93.290001,95.449997,93.110001,94.949997,1.76%,,1.659996,1.659996,0,,,,,,,,,,13010000,
1968-04-10,94.949997,97.110001,94.739998,95.669998,0.76%,,0.720001,0.720001,0,,,,,,,,,,20410000,
1968-04-11,95.669998,96.93,94.809998,96.529999,0.89%,,0.860001,0.860001,0,,,,,,,,,,14230000,
1968-04-15,96.529999,97.360001,95.330002,96.589996,0.06%,,0.059997,0.059997,0,,,,,,,,,,14220000,
1968-04-16,96.589996,97.540001,95.720001,96.620003,0.03%,,0.030007,0.030007,0,,,,,,,,,,15680000,
1968-04-17,96.620003,97.400002,95.760002,96.809998,0.20%,,0.189995,0.189995,0,,,,,,,,,,14090000,
1968-04-18,96.809998,97.889999,96.120003,97.080002,0.28%,,0.270004,0.270004,0,,,,,94.99749942,,,,,15890000,
1968-04-19,97.080002,97.080002,95.150002,95.849998,-1.28%,,-1.230004,0,1.230004,,,,,95.27833233,,,,,14560000,
1968-04-22,95.849998,96.07,94.220001,95.32,-0.55%,,-0.529998,0,0.529998,,,,,95.50166575,,,,,11720000,
1968-04-23,95.68,97.480003,95.68,96.620003,1.35%,12.71%,1.300003,1.300003,0,0.460714071,0.164999786,2.79221012,73.63015317,95.76416592,,,,,14010000,
1968-04-24,96.620003,97.809998,95.980003,96.919998,0.31%,12.69%,0.299995,0.299995,0,0.449234138,0.153214087,2.93206811,74.56809058,96.02083275,,,,,14810000,
1968-04-25,96.919998,97.480003,95.68,96.620003,-0.31%,12.67%,-0.299995,0,0.299995,0.417145985,0.163698438,2.548258804,71.81716286,96.29833292,,,,,14430000,
1968-04-26,96.620003,97.830002,96.220001,97.209999,0.61%,12.75%,0.589996,0.589996,0,0.429492415,0.152005692,2.825502181,73.8596411,96.48666642,,,,,13500000,
1968-04-29,97.209999,98.610001,96.809998,97.970001,0.78%,12.32%,0.760002,0.760002,0,0.481428357,0.147142643,3.271847969,76.59092722,96.67833333,,,,,12030000,
1968-04-30,97.970001,98.169998,96.580002,97.459999,-0.52%,10.98%,-0.510002,0,0.510002,0.447040617,0.173061168,2.58313648,72.09149008,96.75583333,,,,,14380000,
1968-05-01,97.459999,98.610001,96.839996,97.970001,0.52%,10.79%,0.510002,0.510002,0,0.451537859,0.160699656,2.809824671,73.75207296,96.87083375,,,,,14440000,
1968-05-02,97.970001,99.18,97.529999,98.589996,0.63%,10.50%,0.619995,0.619995,0,0.463570512,0.149221109,3.106601429,75.64896381,97.03499983,,,,,14260000,
1968-05-03,98.589996,100.190002,97.980003,98.660004,0.07%,10.49%,0.070008,0.070008,0,0.331429071,0.183571357,1.805450897,64.35510595,97.189167,,,,,17990000,
1968-05-06,98.660004,99.110001,97.269997,98.349998,-0.31%,10.67%,-0.310006,0,0.310006,0.307755566,0.192602403,1.5978802,61.50707796,97.295,,,,,12160000,
1968-05-07,98.349998,99.589996,97.860001,98.900002,0.56%,10.83%,0.550004,0.550004,0,0.325059026,0.178845089,1.817545164,64.50811108,97.549167,,,,,13920000,
1968-05-08,98.900002,99.739998,98.25,98.910004,0.01%,10.83%,0.010002,0.010002,0,0.302554953,0.166070439,1.821847125,64.56221916,97.848334,96.3584615,1.4898725,,,13120000,
1968-05-09,98.910004,99.470001,97.68,98.389999,-0.53%,9.30%,-0.520005,0,0.520005,0.336429071,0.155000429,2.170504137,68.45927471,97.99583367,96.58576904,1.410064628,,,12890000,
1968-05-10,98.389999,99.300003,97.760002,98.5,0.11%,8.68%,0.110001,0.110001,0,0.320255638,0.143928969,2.225095053,68.99316195,98.1275005,96.81115369,1.316346808,,,11700000,
1968-05-13,98.5,99.099998,97.519997,98.190002,-0.32%,7.28%,-0.309998,0,0.309998,0.297380235,0.155791043,1.908840389,65.62203949,98.25833375,96.99269219,1.265641558,,,11860000,
1968-05-14,98.190002,98.849998,97.330002,98.120003,-0.07%,7.26%,-0.069999,0,0.069999,0.27613879,0.14966304,1.845070031,64.85148031,98.33416742,97.15730785,1.176859571,,,13160000,
1968-05-15,98.120003,98.790001,97.32,98.07,-0.05%,7.06%,-0.050003,0,0.050003,0.230000714,0.1264295,1.819201328,64.52896109,98.34250067,97.34115396,1.001346705,,,13180000,
1968-05-16,98.07,98.690002,97.050003,97.599998,-0.48%,7.07%,-0.470002,0,0.470002,0.213572092,0.150970393,1.414662092,58.58633789,98.35416725,97.44307708,0.911090173,,,13030000,
1968-05-17,97.599998,97.809998,96.110001,96.900002,-0.72%,6.85%,-0.699996,0,0.699996,0.198316942,0.190186508,1.042749798,51.04637871,98.26500067,97.49038492,0.774615744,,,11830000,
